"Source Voltage","Source Int. Voltage","Source Current","Drain Voltage","Drain Int. Voltage","Drain Current","Gate Voltage","Gate Int. Voltage","Gate Current","Substrate Voltage","Substrate Int. Voltage","Substrate Current"
0.0000000000e+00,0.0000000000e+00,-2.3948411480e-05,4.0000000000e+00,4.0000000000e+00,2.3948411470e-05,-9.5000000000e+00,-9.5000000000e+00,-7.2334760200e-16,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
0.0000000000e+00,0.0000000000e+00,-3.8316561500e-05,4.0000000000e+00,4.0000000000e+00,3.8316561500e-05,-9.0000000000e+00,-9.0000000000e+00,-7.2033539780e-16,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
0.0000000000e+00,0.0000000000e+00,-5.7262555380e-05,4.0000000000e+00,4.0000000000e+00,5.7262555380e-05,-8.5000000000e+00,-8.5000000000e+00,-7.1730989960e-16,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
0.0000000000e+00,0.0000000000e+00,-8.2748642780e-05,4.0000000000e+00,4.0000000000e+00,8.2748642770e-05,-8.0000000000e+00,-8.0000000000e+00,-7.1426530890e-16,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
0.0000000000e+00,0.0000000000e+00,-1.1854066910e-04,4.0000000000e+00,4.0000000000e+00,1.1854066910e-04,-7.5000000000e+00,-7.5000000000e+00,-7.1119206300e-16,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
0.0000000000e+00,0.0000000000e+00,-1.7174544860e-04,4.0000000000e+00,4.0000000000e+00,1.7174544860e-04,-7.0000000000e+00,-7.0000000000e+00,-7.0807662590e-16,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
0.0000000000e+00,0.0000000000e+00,-2.6019830120e-04,4.0000000000e+00,4.0000000000e+00,2.6019829990e-04,-6.5000000000e+00,-6.5000000000e+00,-7.0488293120e-16,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
0.0000000000e+00,0.0000000000e+00,-4.2482298160e-04,4.0000000000e+00,4.0000000000e+00,4.2482298160e-04,-6.0000000000e+00,-6.0000000000e+00,-7.0155574290e-16,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
0.0000000000e+00,0.0000000000e+00,-8.0203851390e-04,4.0000000000e+00,4.0000000000e+00,8.0203851390e-04,-5.5000000000e+00,-5.5000000000e+00,-6.9795345720e-16,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
0.0000000000e+00,0.0000000000e+00,-3.2874576020e-03,4.0000000000e+00,4.0000000000e+00,3.2874576020e-03,-5.0000000000e+00,-5.0000000000e+00,-6.8744113580e-16,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
0.0000000000e+00,0.0000000000e+00,-1.0852015960e-02,4.0000000000e+00,4.0000000000e+00,1.0852015960e-02,-4.5000000000e+00,-4.5000000000e+00,-6.6139010330e-16,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
