"Source Voltage","Source Int. Voltage","Source Current","Drain Voltage","Drain Int. Voltage","Drain Current","Gate Voltage","Gate Int. Voltage","Gate Current","Substrate Voltage","Substrate Int. Voltage","Substrate Current"
0.0000000000e+00,0.0000000000e+00,-2.2572870590e-02,4.0000000000e+00,4.0000000000e+00,2.2572870590e-02,-4.0000000000e+00,-4.0000000000e+00,-6.3270507810e-16,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
0.0000000000e+00,0.0000000000e+00,-3.7518127470e-02,4.0000000000e+00,4.0000000000e+00,3.7518127470e-02,-3.5000000000e+00,-3.5000000000e+00,-6.0486494080e-16,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
0.0000000000e+00,0.0000000000e+00,-5.4626635430e-02,4.0000000000e+00,4.0000000000e+00,5.4626635430e-02,-3.0000000000e+00,-3.0000000000e+00,-5.7655845740e-16,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
0.0000000000e+00,0.0000000000e+00,-7.2543090650e-02,4.0000000000e+00,4.0000000000e+00,7.2543090650e-02,-2.5000000000e+00,-2.5000000000e+00,-5.4549237380e-16,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
0.0000000000e+00,0.0000000000e+00,-8.9662528630e-02,4.0000000000e+00,4.0000000000e+00,8.9662528630e-02,-2.0000000000e+00,-2.0000000000e+00,-5.0924223720e-16,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
0.0000000000e+00,0.0000000000e+00,-1.0469455990e-01,4.0000000000e+00,4.0000000000e+00,1.0469455990e-01,-1.5000000000e+00,-1.5000000000e+00,-4.6690841790e-16,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
0.0000000000e+00,0.0000000000e+00,-1.1728335450e-01,4.0000000000e+00,4.0000000000e+00,1.1728335450e-01,-1.0000000000e+00,-1.0000000000e+00,-4.1965508190e-16,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
0.0000000000e+00,0.0000000000e+00,-1.2771024950e-01,4.0000000000e+00,4.0000000000e+00,1.2771024950e-01,-5.0000000000e-01,-5.0000000000e-01,-3.6914415240e-16,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
0.0000000000e+00,0.0000000000e+00,-1.3639891960e-01,4.0000000000e+00,4.0000000000e+00,1.3639891810e-01,1.2858289410e-15,1.2858289410e-15,-3.1658281720e-16,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
0.0000000000e+00,0.0000000000e+00,-1.4372140330e-01,4.0000000000e+00,4.0000000000e+00,1.4372140290e-01,5.0000000000e-01,5.0000000000e-01,-2.6270764950e-16,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
0.0000000000e+00,0.0000000000e+00,-1.4996766180e-01,4.0000000000e+00,4.0000000000e+00,1.4996766160e-01,1.0000000000e+00,1.0000000000e+00,-2.0795795310e-16,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
