"Frequency","Real(S11)","Imag(S11)","Real(S12)","Imag(S12)","Real(S21)","Imag(S21)","Real(S22)","Imag(S22)","Current gain","Unilateral power gain","Max transducer power gain","Stern stability factor","Gms","Gma","Source Voltage","Source Current","Drain Voltage","Drain Current","Gate Voltage","Gate Current","Substrate Voltage","Substrate Current","G Source>Source","C Source>Source","G Drain>Source","C Drain>Source","G Gate>Source","C Gate>Source","G Substrate>Source","C Substrate>Source","G Source>Drain","C Source>Drain","G Drain>Drain","C Drain>Drain","G Gate>Drain","C Gate>Drain","G Substrate>Drain","C Substrate>Drain","G Source>Gate","C Source>Gate","G Drain>Gate","C Drain>Gate","G Gate>Gate","C Gate>Gate","G Substrate>Gate","C Substrate>Gate","G Source>Substrate","C Source>Substrate","G Drain>Substrate","C Drain>Substrate","G Gate>Substrate","C Gate>Substrate","G Substrate>Substrate","C Substrate>Substrate"
4.0000000000e+09,7.9171847417e-01,-4.8436313878e-01,2.7003607088e-02,7.0082083149e-02,-8.8646464034e-01,6.0080005297e-01,8.8158945536e-01,-1.3438105134e-01,7.2997290736e+00,1.5274447395e+01,1.6065913627e+01,4.3186264126e-01,1.1540738663e+01,1.1540738663e+01,0.0000000000e+00,-4.5397374070e-02,1.5000000000e+01,4.5392694580e-02,0.0000000000e+00,-7.2070122210e-11,0.0000000000e+00,0.0000000000e+00,-1.3115904170e-02,-8.3123476840e-14,1.2525115870e-02,-9.1123665920e-14,5.8406753420e-04,1.7189852610e-13,6.7207682790e-06,2.3486166500e-15,8.4886145570e-04,8.2166625270e-15,-8.8935317910e-04,-4.4059536080e-14,4.2981402180e-05,3.3636759580e-14,-2.4896787850e-06,2.2061139740e-15,1.2228961800e-02,7.3101449570e-14,-1.1603923030e-02,1.3209175320e-13,-6.2227921620e-04,-2.0575012620e-13,-2.7595488970e-06,5.5692348150e-16,3.8080918500e-05,1.8053647410e-15,-3.1839657720e-05,3.0914488430e-15,-4.7697201850e-06,2.1484052080e-16,-1.4715405970e-06,-5.1116541060e-15
6.0000000000e+09,6.0853727777e-01,-6.0744123519e-01,5.1054840814e-02,9.0051573045e-02,-6.5198854167e-01,7.4781139554e-01,8.4888676965e-01,-1.8217064063e-01,3.9054999134e+00,1.1705340781e+01,1.1856983383e+01,6.3630114882e-01,9.8155218337e+00,9.8155218337e+00,0.0000000000e+00,-4.5397374070e-02,1.5000000000e+01,4.5392694580e-02,0.0000000000e+00,-7.2070122210e-11,0.0000000000e+00,0.0000000000e+00,-1.3347465870e-02,-8.1999610270e-14,1.2047755010e-02,-8.8287387240e-14,1.2855366950e-03,1.6801114150e-13,1.4174163160e-05,2.2758560000e-15,8.3758602850e-04,8.2684206440e-15,-9.2799130020e-04,-4.3933949730e-14,9.5597006990e-05,3.3430317970e-14,-5.1917353030e-06,2.2352111160e-15,1.2468642250e-02,7.1953259160e-14,-1.1091650010e-02,1.2916787670e-13,-1.3710754830e-03,-2.0170478490e-13,-5.9167624420e-06,5.8364908780e-16,4.1237590390e-05,1.7779304690e-15,-2.8113705380e-05,3.0534603180e-15,-1.0058219600e-05,2.6332541620e-16,-3.0656654120e-06,-5.0947162040e-15
8.0000000000e+09,4.3466328208e-01,-6.5903017035e-01,7.4338984085e-02,1.0086468601e-01,-4.2995466957e-01,8.0309792105e-01,8.1642271053e-01,-2.1810189307e-01,1.5800295476e+00,9.1440656144e+00,8.8674567176e+00,8.2840655584e-01,8.6154445270e+00,8.6154445270e+00,0.0000000000e+00,-4.5397374070e-02,1.5000000000e+01,4.5392694580e-02,0.0000000000e+00,-7.2070122210e-11,0.0000000000e+00,0.0000000000e+00,-1.3656172690e-02,-8.0403864430e-14,1.1418621920e-02,-8.4642376090e-14,2.2144739690e-03,1.6285888220e-13,2.3076807980e-05,2.1873582670e-15,8.2213979240e-04,8.3341456220e-15,-9.8112971350e-04,-4.3745858040e-14,1.6732314580e-04,3.3141819280e-14,-8.3332247010e-06,2.2698931290e-15,1.2788899390e-02,7.0326433730e-14,-1.0413732370e-02,1.2537790690e-13,-2.3653447320e-03,-1.9632177640e-13,-9.8222829820e-06,6.1743575260e-16,4.5133511750e-05,1.7432850780e-15,-2.3759828960e-05,3.0103272270e-15,-1.6452382490e-05,3.2107484450e-16,-4.9213003010e-06,-5.0746871490e-15
1.0000000000e+10,2.8852187552e-01,-6.6507865532e-01,9.4476513360e-02,1.0572396600e-01,-2.4399150500e-01,8.0003507482e-01,7.8725114867e-01,-2.4623204453e-01,-1.4501096985e-01,7.1318033460e+00,6.6406018252e+00,1.0057475042e+00,7.7078675068e+00,7.2424623749e+00,0.0000000000e+00,-4.5397049890e-02,1.5000000000e+01,4.5393668100e-02,0.0000000000e+00,-7.2066147900e-11,0.0000000000e+00,0.0000000000e+00,-1.4027593050e-02,-7.8454829590e-14,1.0668870450e-02,-8.0335464530e-14,3.3263071360e-03,1.5669709230e-13,3.2415464020e-05,2.0932018290e-15,8.0291016700e-04,8.4160681450e-15,-1.0473577550e-03,-4.3499408280e-14,2.5596448770e-04,3.2777394630e-14,-1.1516900050e-05,2.3059455110e-15,1.3175319720e-02,6.8334068310e-14,-9.6023316700e-03,1.2086743270e-13,-3.5589029520e-03,-1.8985636120e-13,-1.4085096230e-05,6.5486018570e-16,4.9363167130e-05,1.7046931350e-15,-1.9181027900e-05,2.9674400750e-15,-2.3368671490e-05,3.8187431430e-16,-6.8134677420e-06,-5.0540075250e-15
1.5000000000e+10,4.5232277458e-02,-6.0030243262e-01,1.3053675682e-01,1.0677534510e-01,6.2473338711e-02,6.9059918615e-01,7.2954162174e-01,-3.0130340237e-01,-3.0016063152e+00,3.3895847244e+00,3.0112510165e+00,1.3771188993e+00,6.1402479696e+00,2.4780124118e+00,0.0000000000e+00,-4.5397049890e-02,1.5000000000e+01,4.5393668100e-02,0.0000000000e+00,-7.2066147900e-11,0.0000000000e+00,0.0000000000e+00,-1.5130199730e-02,-7.2653708110e-14,8.4764326670e-03,-6.7798558760e-14,6.6001053130e-03,1.3857287580e-13,5.3661752120e-05,1.8793911170e-15,7.4197437550e-04,8.6887490910e-15,-1.2561096040e-03,-4.2687770800e-14,5.3237087650e-04,3.1614710070e-14,-1.8235648490e-05,2.3843116340e-15,1.4328873350e-02,6.2354130800e-14,-7.2126720920e-03,1.0761266340e-13,-7.0916975950e-03,-1.7071234620e-13,-2.4503661500e-05,7.4555207970e-16,5.9352008570e-05,1.6108282200e-15,-7.6509712740e-06,2.8736662010e-15,-4.0778595170e-05,5.2476040980e-16,-1.0922442130e-05,-5.0092548310e-15
2.0000000000e+10,-8.3724730641e-02,-5.1784965600e-01,1.5335226175e-01,1.0428189644e-01,2.2013526346e-01,5.5980189012e-01,6.8468516666e-01,-3.4999520454e-01,-4.7209201959e+00,6.2740190274e-01,8.6867677085e-01,1.6481678064e+00,5.1103052074e+00,3.9987704728e-01,0.0000000000e+00,-4.5397049890e-02,1.5000000000e+01,4.5393668100e-02,0.0000000000e+00,-7.2066147900e-11,0.0000000000e+00,0.0000000000e+00,-1.6318849480e-02,-6.6466154110e-14,6.1774566280e-03,-5.4549791050e-14,1.0071275500e-02,1.1929506370e-13,7.0117346190e-05,1.7208814980e-15,6.7228908690e-04,9.0276388580e-15,-1.4999032460e-03,-4.1750192040e-14,8.5040744230e-04,3.0284149230e-14,-2.2793283320e-05,2.4384039520e-15,1.5579446810e-02,5.5899602160e-14,-4.6809523270e-03,9.3506643600e-14,-1.0865104060e-02,-1.5022504360e-13,-3.3390425940e-05,8.1879787760e-16,6.7113580230e-05,1.5389130840e-15,3.3989448700e-06,2.7933394940e-15,-5.6578888170e-05,6.4583074970e-16,-1.3933636930e-05,-4.9780833280e-15
2.5000000000e+10,-1.5514660804e-01,-4.4958343571e-01,1.6990097181e-01,1.0231521613e-01,3.0223291091e-01,4.4868570203e-01,6.4401649772e-01,-3.9707051229e-01,-5.8374862032e+00,-1.6220928734e+00,-5.3277527366e-01,1.8372670013e+00,4.3579618681e+00,-9.2934028269e-01,0.0000000000e+00,-4.5397049890e-02,1.5000000000e+01,4.5393668100e-02,0.0000000000e+00,-7.2066147900e-11,0.0000000000e+00,0.0000000000e+00,-1.7457528560e-02,-6.0635563890e-14,4.0754701160e-03,-4.2162158370e-14,1.3299764160e-02,1.0119069620e-13,8.2294274320e-05,1.6070260880e-15,6.0497958430e-04,9.3783903770e-15,-1.7562865550e-03,-4.0823244350e-14,1.1770181160e-03,2.8970525610e-14,-2.5711145700e-05,2.4743283610e-15,1.6779560110e-02,4.9768570490e-14,-2.3316269070e-03,8.0262239740e-14,-1.4407443690e-02,-1.3090641150e-13,-4.0489519150e-05,8.7560129500e-16,7.2988856800e-05,1.4886030310e-15,1.2443345820e-05,2.7231629820e-15,-6.9338593150e-05,7.4518973040e-16,-1.6093609470e-05,-4.9569557440e-15
3.0000000000e+10,-1.9728357865e-01,-3.9735693367e-01,1.8355589720e-01,1.0104153937e-01,3.4533410980e-01,3.5982011803e-01,6.0361304127e-01,-4.4224409136e-01,-6.6018799788e+00,-3.5645822436e+00,-1.5261821598e+00,1.9671617325e+00,3.7661779216e+00,-1.8700424811e+00,0.0000000000e+00,-4.5397049890e-02,1.5000000000e+01,4.5393668100e-02,0.0000000000e+00,-7.2066147900e-11,0.0000000000e+00,0.0000000000e+00,-1.8481499320e-02,-5.5490878810e-14,2.3126219460e-03,-3.1411192470e-14,1.6077871180e-02,8.5377114090e-14,9.1006191170e-05,1.5249571900e-15,5.4635998930e-04,9.7023699710e-15,-2.0137108140e-03,-3.9965921200e-14,1.4948666530e-03,2.7765096760e-14,-2.7515828250e-05,2.4984544650e-15,1.7857533200e-02,4.4335726680e-14,-3.1757570520e-04,6.8709464180e-14,-1.7494117810e-02,-1.1396433570e-13,-4.5839690180e-05,9.1914482810e-16,7.7606125140e-05,1.4527821530e-15,1.8664573680e-05,2.6676494900e-15,-7.8620026080e-05,8.2212484010e-16,-1.7650672730e-05,-4.9425564830e-15
3.5000000000e+10,-2.2361681469e-01,-3.5804549196e-01,1.9579456773e-01,1.0002510113e-01,3.6710300050e-01,2.8931637979e-01,5.6211721411e-01,-4.8457963565e-01,-7.1478427553e+00,-5.3054688430e+00,-2.2782292856e+00,2.0569057041e+00,3.2753877348e+00,-2.5841410174e+00,0.0000000000e+00,-4.5397049890e-02,1.5000000000e+01,4.5393668100e-02,0.0000000000e+00,-7.2066147900e-11,0.0000000000e+00,0.0000000000e+00,-1.9373122690e-02,-5.1108954920e-14,9.1692922600e-04,-2.2480222350e-14,1.8359075060e-02,7.2123986980e-14,9.7118401430e-05,1.4651902900e-15,4.9859097390e-04,9.9835938620e-15,-2.2671593320e-03,-3.9198040060e-14,1.7971869010e-03,2.6699286350e-14,-2.8618543110e-05,2.5151598480e-15,1.8793189870e-02,3.9698978390e-14,1.3277320220e-03,5.9050999760e-14,-2.0071254620e-02,-9.9702273700e-14,-4.9667275950e-05,9.5229554780e-16,8.1341838340e-05,1.4263826640e-15,2.2498084500e-05,2.6272626480e-15,-8.5007340450e-05,8.7900037470e-16,-1.8832582380e-05,-4.9326456860e-15
4.0000000000e+10,-2.4092903728e-01,-3.2851618561e-01,2.0725416716e-01,9.8863944811e-02,3.7660386397e-01,2.3318466101e-01,5.1928441437e-01,-5.2333147756e-01,-7.5512564360e+00,-6.9056730473e+00,-2.8788073974e+00,2.1203863319e+00,2.8533348060e+00,-3.1565638260e+00,0.0000000000e+00,-4.5397049890e-02,1.5000000000e+01,4.5393668100e-02,0.0000000000e+00,-7.2066147900e-11,0.0000000000e+00,0.0000000000e+00,-2.0139283970e-02,-4.7439882100e-14,-1.4075186120e-04,-1.5242965870e-14,2.0178777190e-02,6.1261931220e-14,1.0125864420e-04,1.4209167550e-15,4.6159345780e-04,1.0219681660e-14,-2.5156690530e-03,-3.8520012240e-14,2.0833362150e-03,2.5773001270e-14,-2.9260619650e-05,2.5273293040e-15,1.9593259880e-02,3.5813834880e-14,2.6316910950e-03,5.1163921830e-14,-2.2172762870e-02,-8.7955153350e-14,-5.2188105260e-05,9.7739664040e-16,8.4430628530e-05,1.4063655570e-15,2.4729819250e-05,2.5990562800e-15,-8.9350528440e-05,9.2022086240e-16,-1.9809919340e-05,-4.9256426990e-15
4.5000000000e+10,-2.5287245637e-01,-3.0635685280e-01,2.1818471123e-01,9.7276988540e-02,3.7885972004e-01,1.8828497362e-01,4.7536086086e-01,-5.5802851439e-01,-7.8566304445e+00,-8.4029481637e+00,-3.3783652657e+00,2.1670151531e+00,2.4821546283e+00,-3.6345493439e+00,0.0000000000e+00,-4.5397049890e-02,1.5000000000e+01,4.5393668100e-02,0.0000000000e+00,-7.2066147900e-11,0.0000000000e+00,0.0000000000e+00,-2.0796366900e-02,-4.4385615750e-14,-9.1072856150e-04,-9.4596813660e-15,2.1603247670e-02,5.2457511420e-14,1.0384778430e-04,1.3877857050e-15,4.3432649880e-04,1.0414320240e-14,-2.7602806580e-03,-3.7922586040e-14,2.3555003820e-03,2.4971580690e-14,-2.9546222190e-05,2.5366851150e-15,2.0275004130e-02,3.2580448290e-14,3.6449880050e-03,4.4802672770e-14,-2.3866378510e-02,-7.8379142300e-14,-5.3613620600e-05,9.9602124250e-16,8.7036270730e-05,1.3908472220e-15,2.6021215210e-05,2.5795946410e-15,-9.2369544440e-05,9.5005019860e-16,-2.0687941510e-05,-4.9204920620e-15
5.0000000000e+10,-2.6153927545e-01,-2.8979776234e-01,2.2865155241e-01,9.5096153301e-02,3.7685310704e-01,1.5223639159e-01,4.3080637854e-01,-5.8844792713e-01,-8.0907668538e+00,-9.8216988181e+00,-3.8057462896e+00,2.2028197937e+00,2.1517926701e+00,-4.0449587830e+00,0.0000000000e+00,-4.5397049890e-02,1.5000000000e+01,4.5393668100e-02,0.0000000000e+00,-7.2066147900e-11,0.0000000000e+00,0.0000000000e+00,-2.1362422170e-02,-4.1840969100e-14,-1.4465009180e-03,-4.8741856520e-15,2.2703696340e-02,4.5352179550e-14,1.0522674850e-04,1.3629752030e-15,4.1546163410e-04,1.0573208940e-14,-3.0026537720e-03,-3.7393181520e-14,2.6166964000e-03,2.4275776240e-14,-2.9504262650e-05,2.5441963440e-15,2.0857678150e-02,2.9889162030e-14,4.4223415860e-03,3.9701303770e-14,-2.5225819140e-02,-7.0599813290e-14,-5.4200588980e-05,1.0093474900e-15,8.9282394980e-05,1.3785981290e-15,2.6813102980e-05,2.5660633990e-15,-9.4573601100e-05,9.7185750920e-16,-2.1521896860e-05,-4.9165190370e-15
