dydx 1 vs gate bias
19 2 2
gate bias
dydx 1
-8 8.17504e-006
-7.5 9.64663e-006
-7 1.19506e-005
-6.8 1.5211e-005
-6.6 1.80121e-005
-6.4 2.17932e-005
-6.2 2.66679e-005
-6 3.27114e-005
-5.8 4.06039e-005
-5.6 5.15346e-005
-5.4 6.31701e-005
-5.3 8.02596e-005
-5.2 -0.00025611
-5 -0.000279207
-4.9 1.13748e-005
-4.85 -9.46619e-007
-4.8 -6.57335e-007
-4.775 -6.65245e-009
-4.76875 5.28338e-008
