"Source Voltage","Source Int. Voltage","Source Current","Drain Voltage","Drain Int. Voltage","Drain Current","Gate Voltage","Gate Int. Voltage","Gate Current","Substrate Voltage","Substrate Int. Voltage","Substrate Current","Global device temperature"
0.0000000000e+00,0.0000000000e+00,-2.3066314950e-11,0.0000000000e+00,0.0000000000e+00,-7.7691219140e-11,-3.0000000000e+00,-3.0000000000e+00,-1.8362376150e-17,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,3.0000000000e+02
0.0000000000e+00,0.0000000000e+00,-3.2692063880e-03,1.2500000000e-01,1.2500000000e-01,3.2692066580e-03,-3.0000000000e+00,-3.0000000000e+00,-2.1835838360e-17,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,3.0113331220e+02
0.0000000000e+00,0.0000000000e+00,-6.1039325150e-03,2.5000000000e-01,2.5000000000e-01,6.1039335420e-03,-3.0000000000e+00,-3.0000000000e+00,-3.4957414940e-17,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,3.0419664790e+02
0.0000000000e+00,0.0000000000e+00,-1.0298326860e-02,5.0000000000e-01,5.0000000000e-01,1.0298486970e-02,-3.0000000000e+00,-3.0000000000e+00,-1.5357631670e-16,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,3.1420071980e+02
0.0000000000e+00,0.0000000000e+00,-1.3995524010e-02,1.0000000000e+00,1.0000000000e+00,1.3996514930e-02,-3.0000000000e+00,-3.0000000000e+00,-4.3262792860e-15,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,3.3921379580e+02
0.0000000000e+00,0.0000000000e+00,-1.4569395680e-02,1.5000000000e+00,1.5000000000e+00,1.4567037350e-02,-3.0000000000e+00,-3.0000000000e+00,-6.2916526490e-14,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,3.6213273970e+02
0.0000000000e+00,0.0000000000e+00,-1.4095901290e-02,2.0000000000e+00,2.0000000000e+00,1.4097282890e-02,-3.0000000000e+00,-3.0000000000e+00,-4.5954460200e-13,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,3.8112611050e+02
0.0000000000e+00,0.0000000000e+00,-1.3374508420e-02,2.5000000000e+00,2.5000000000e+00,1.3376584550e-02,-3.0000000000e+00,-3.0000000000e+00,-2.1477021910e-12,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,3.9718326500e+02
0.0000000000e+00,0.0000000000e+00,-1.2668060560e-02,3.0000000000e+00,3.0000000000e+00,1.2666036470e-02,-3.0000000000e+00,-3.0000000000e+00,-7.6672889970e-12,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,4.1140538240e+02
0.0000000000e+00,0.0000000000e+00,-1.2035328620e-02,3.5000000000e+00,3.5000000000e+00,1.2034494200e-02,-3.0000000000e+00,-3.0000000000e+00,-2.2963410110e-11,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,4.2445184910e+02
0.0000000000e+00,0.0000000000e+00,-1.1480980730e-02,4.0000000000e+00,4.0000000000e+00,1.1481196730e-02,-3.0000000000e+00,-3.0000000000e+00,-6.0670486580e-11,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,4.3667223290e+02
0.0000000000e+00,0.0000000000e+00,-1.0996571880e-02,4.5000000000e+00,4.5000000000e+00,1.0996477720e-02,-3.0000000000e+00,-3.0000000000e+00,-1.4580893050e-10,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,4.4826038500e+02
0.0000000000e+00,0.0000000000e+00,-1.0570624280e-02,5.0000000000e+00,5.0000000000e+00,1.0570493110e-02,-3.0000000000e+00,-3.0000000000e+00,-3.2503723610e-10,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,4.5935027410e+02
0.0000000000e+00,0.0000000000e+00,-1.0194279930e-02,5.5000000000e+00,5.5000000000e+00,1.0192677080e-02,-3.0000000000e+00,-3.0000000000e+00,-6.8181871020e-10,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,4.7004522820e+02
0.0000000000e+00,0.0000000000e+00,-9.8594135190e-03,6.0000000000e+00,6.0000000000e+00,9.8569388680e-03,-3.0000000000e+00,-3.0000000000e+00,-1.3602285100e-09,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,4.8042455580e+02
0.0000000000e+00,0.0000000000e+00,-9.5598289670e-03,6.5000000000e+00,6.5000000000e+00,9.5561261530e-03,-3.0000000000e+00,-3.0000000000e+00,-2.6011548300e-09,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,4.9054809940e+02
0.0000000000e+00,0.0000000000e+00,-9.2885814900e-03,7.0000000000e+00,7.0000000000e+00,9.2863597670e-03,-3.0000000000e+00,-3.0000000000e+00,-4.7927041430e-09,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,5.0044426440e+02
0.0000000000e+00,0.0000000000e+00,-9.0438486700e-03,7.5000000000e+00,7.5000000000e+00,9.0402981520e-03,-3.0000000000e+00,-3.0000000000e+00,-8.5598992940e-09,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,5.1016991270e+02
0.0000000000e+00,0.0000000000e+00,-8.8222473750e-03,8.0000000000e+00,8.0000000000e+00,8.8168124860e-03,-3.0000000000e+00,-3.0000000000e+00,-1.4892028670e-08,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,5.1977451960e+02
0.0000000000e+00,0.0000000000e+00,-8.6206748400e-03,8.5000000000e+00,8.5000000000e+00,8.6127462950e-03,-3.0000000000e+00,-3.0000000000e+00,-2.5311954750e-08,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,5.2928118280e+02
0.0000000000e+00,0.0000000000e+00,-8.4356035440e-03,9.0000000000e+00,9.0000000000e+00,8.4283302350e-03,-3.0000000000e+00,-3.0000000000e+00,-4.2144946990e-08,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,5.3871423950e+02
0.0000000000e+00,0.0000000000e+00,-8.2665317650e-03,9.5000000000e+00,9.5000000000e+00,8.2561661800e-03,-3.0000000000e+00,-3.0000000000e+00,-6.8835026350e-08,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,5.4807810580e+02
0.0000000000e+00,0.0000000000e+00,-8.1107927150e-03,1.0000000000e+01,1.0000000000e+01,8.0966805640e-03,-3.0000000000e+00,-3.0000000000e+00,-1.1046511940e-07,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,5.5738428250e+02
0.0000000000e+00,0.0000000000e+00,-7.9655807360e-03,1.0500000000e+01,1.0500000000e+01,7.9514898840e-03,-3.0000000000e+00,-3.0000000000e+00,-1.7448187790e-07,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,5.6664937830e+02
0.0000000000e+00,0.0000000000e+00,-7.8317169620e-03,1.1000000000e+01,1.1000000000e+01,7.8132721840e-03,-3.0000000000e+00,-3.0000000000e+00,-2.7125289110e-07,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,5.7585611820e+02
0.0000000000e+00,0.0000000000e+00,-7.7070069420e-03,1.1500000000e+01,1.1500000000e+01,7.6837789060e-03,-3.0000000000e+00,-3.0000000000e+00,-4.1559034870e-07,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,5.8501499900e+02
0.0000000000e+00,0.0000000000e+00,-7.5889114660e-03,1.2000000000e+01,1.2000000000e+01,7.5654118090e-03,-3.0000000000e+00,-3.0000000000e+00,-6.2865453410e-07,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,5.9415013240e+02
0.0000000000e+00,0.0000000000e+00,-7.4793407870e-03,1.2500000000e+01,1.2500000000e+01,7.4511354720e-03,-3.0000000000e+00,-3.0000000000e+00,-9.3800869690e-07,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,6.0322696780e+02
0.0000000000e+00,0.0000000000e+00,-7.4273617740e-03,1.2750000000e+01,1.2750000000e+01,7.3959187820e-03,-3.0000000000e+00,-3.0000000000e+00,-1.1403543380e-06,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,6.0774791640e+02
0.0000000000e+00,0.0000000000e+00,-7.3771132890e-03,1.3000000000e+01,1.3000000000e+01,7.3420225640e-03,-3.0000000000e+00,-3.0000000000e+00,-1.3821572570e-06,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,6.1225786870e+02
0.0000000000e+00,0.0000000000e+00,-7.3266549770e-03,1.3250000000e+01,1.3250000000e+01,7.2928767850e-03,-3.0000000000e+00,-3.0000000000e+00,-1.6728702510e-06,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,6.1679341470e+02
0.0000000000e+00,0.0000000000e+00,-7.2791576270e-03,1.3500000000e+01,1.3500000000e+01,7.2422203810e-03,-3.0000000000e+00,-3.0000000000e+00,-2.0165871120e-06,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,6.2129148480e+02
0.0000000000e+00,0.0000000000e+00,-7.2330847020e-03,1.3750000000e+01,1.3750000000e+01,7.1928764110e-03,-3.0000000000e+00,-3.0000000000e+00,-2.4242845890e-06,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,6.2578084730e+02
